"","catch.date","person","species","PIT.tag","length","mass","age.class","sex","repro","air.temp","zscore.mass","zscore.length","zscore.max"
"1165",2010-06-21,"JH","rattlesnake","4A1D685F4A",NA,95,"sub.adult","female","nongravid",NA,0.685125469951647,NA,0.685125469951647
"1166",2010-06-21,"BE","rattlesnake","452F591833",NA,310,"adult","male",NA,NA,1.32064790308722,NA,1.32064790308722
"1167",2010-06-22,"OMM","rattlesnake","4A4D787857",NA,117,"adult","female","nongravid",NA,0.479883543408136,NA,0.479883543408136
"1168",2010-06-22,"CG staff","rattlesnake","484B7D7C77",NA,123,"adult","female","nongravid",NA,0.423908472532632,NA,0.423908472532632
"1169",2010-06-22,"CG staff","rattlesnake","43044C1500",NA,132,"adult","female","nongravid",NA,0.339945866219378,NA,0.339945866219378
"1174",2010-06-26,"BE","rattlesnake","Neonate",NA,10,"neonate",NA,"nongravid",NA,1.47810564068794,NA,1.47810564068794
"1175",2010-06-29,"ARB, EVL","rattlesnake","484E094C24",NA,205,"adult","male",NA,"31.4",0.341084162765912,NA,0.341084162765912
"1176",2010-06-24,"CG staff","rattlesnake","452F654A20",NA,202,"adult","female","nongravid",NA,0.31309662732816,NA,0.31309662732816
"1177",2010-06-24,"ARB, EVL","rattlesnake","497F656E6F",NA,125,"sub.adult","female","nongravid","22.9",0.405250115574131,NA,0.405250115574131
"1178",2010-06-24,"ARB, EVL","rattlesnake","4A4F6C7232",NA,114,"adult","female","nongravid","22.9",0.507871078845887,NA,0.507871078845887
"1179",2010-06-24,"ARB, EVL","rattlesnake","4A4D791D00",NA,74,"adult","female",NA,"21.5",0.881038218015909,NA,0.881038218015909
"1180",2010-06-24,"JH","rattlesnake","445E1B2963",NA,210,"adult","male",NA,NA,0.387730055162164,NA,0.387730055162164
"1182",2010-06-24,"ARB, EVL","rattlesnake","4A4F197961",NA,139,"adult","female","nongravid","19.7",0.274641616864624,NA,0.274641616864624
"1183",2010-07-03,"CG staff, JH","rattlesnake","Neonate",NA,16,"neonate",NA,NA,NA,1.42213056981244,NA,1.42213056981244
"1184",2010-06-25,"LZ","rattlesnake","4A4E007742 Nevada",NA,233,"adult","female","nongravid","22",0.602301160184927,NA,0.602301160184927
"1185",2010-06-25,"ARB, EVL","rattlesnake","4A4D791D00",NA,120,"adult","male",NA,"24.5",0.451896007970384,NA,0.451896007970384
"1186",2010-06-26,"Randi Baptiste, BE","rattlesnake","4A2534012C",NA,132,"adult","female","nongravid",NA,0.339945866219378,NA,0.339945866219378
"1187",2010-06-25,"CG staff, BE","rattlesnake","Neonate",NA,12,"neonate",NA,"nongravid",NA,1.45944728372944,NA,1.45944728372944
"1189",2010-06-28,"CG staff","rattlesnake","Neonate",NA,12,"neonate",NA,"nongravid",NA,1.45944728372944,NA,1.45944728372944
"1190",2010-06-25,"CG staff","rattlesnake","4A4E765427",NA,44,"juvenile",NA,"nongravid",NA,1.16091357239342,NA,1.16091357239342
"1191",2010-06-24,"BE","rattlesnake","4A1D2F513C",NA,231,"adult","male",NA,NA,0.583642803226425,NA,0.583642803226425
"1192",2010-06-24,"CG staff","rattlesnake","4A4E430059",NA,41,"juvenile","male",NA,NA,1.18890110783118,NA,1.18890110783118
"1193",2010-06-27,"CG staff","rattlesnake","472378767D",NA,180,"adult","female",NA,NA,0.107854700784648,NA,0.107854700784648
"1194",2010-06-29,"ARB, EVL","rattlesnake","Neonate",NA,13,"neonate",NA,"nongravid","21.8",1.45011810525019,NA,1.45011810525019
"1197",2010-06-29,"JH","rattlesnake","Neonate",NA,12,"neonate",NA,"nongravid",NA,1.45944728372944,NA,1.45944728372944
"1198",2010-06-29,"JH","rattlesnake","4462123422",NA,121,"adult","female","nongravid",NA,0.442566829491133,NA,0.442566829491133
"1199",2010-06-29,"ARB, EVL","rattlesnake","Neonate",NA,11,"neonate",NA,NA,NA,1.46877646220869,NA,1.46877646220869
"1200",2010-07-01,"BE","rattlesnake","4532422759",NA,282,"adult","male",NA,NA,1.0594309056682,NA,1.0594309056682
"1201",2010-07-01,"JH, CG staff","rattlesnake","Neonate",NA,12,"neonate",NA,"nongravid",NA,1.45944728372944,NA,1.45944728372944
"1202",2010-07-01,"JH, CG staff","rattlesnake","Neonate",NA,13,"neonate",NA,"nongravid",NA,1.45011810525019,NA,1.45011810525019
"1203",2010-07-01,"JH, CG staff","rattlesnake","Neonate",NA,11,"neonate",NA,"nongravid",NA,1.46877646220869,NA,1.46877646220869
"1204",2010-07-03,"JH","rattlesnake","4A4F316A48",NA,197,"adult","female","nongravid",NA,0.266450734931907,NA,0.266450734931907
"1205",2010-07-03,"CG staff","rattlesnake","Neonate",NA,17,"neonate",NA,NA,NA,1.41280139133319,NA,1.41280139133319
"1206",2010-07-04,"CG staff","rattlesnake","445E1E5139",NA,210,"adult","male",NA,NA,0.387730055162164,NA,0.387730055162164
"1207",2010-07-04,"CG staff","rattlesnake","Neonate",NA,15,"neonate",NA,"nongravid",NA,1.43145974829169,NA,1.43145974829169
"1208",2010-07-05,"ARB, EVL","rattlesnake","4A4F543267",NA,115,"adult","female","nongravid","19.3",0.498541900366637,NA,0.498541900366637
"1209",2010-07-07,"ARB, EVL","rattlesnake","484E1E7C4A",NA,149,"adult","male",NA,"23",0.181349832072118,NA,0.181349832072118
"1210",2010-07-08,"CG staff","rattlesnake","Neonate",25.1,12,"neonate",NA,"nongravid",NA,1.45944728372944,1.7408351099073,1.7408351099073
"1211",2010-07-08,"ARB, EVL","rattlesnake","1.79769E+308",51.3,89,"adult","male",NA,"27.3",0.741100540827151,0.300729381803754,0.741100540827151
"1212",2010-07-08,"ARB, EVL","rattlesnake","4A4F543267",NA,113,"adult","female","nongravid","27.3",0.517200257325138,NA,0.517200257325138
"1213",2010-07-08,"ARB, EVL","rattlesnake","4A4F6C7232 (Sight)",NA,161,"adult","female","nongravid","26.2",0.069399690321112,NA,0.069399690321112
"1214",2010-07-09,"Unknown","rattlesnake","Neonate",28.1,13,"neonate",NA,"nongravid",NA,1.45011810525019,1.5759375074527,1.5759375074527
"1215",2010-07-09,"CG staff","rattlesnake","4551444D03",NA,206,"adult","male",NA,NA,0.350413341245162,NA,0.350413341245162
"1216",2010-07-09,"ARB, EVL","rattlesnake","Neonate",27.8,15,"neonate",NA,"nongravid","34.7",1.43145974829169,1.59242726769816,1.59242726769816
"1218",2010-07-12,"CG staff","rattlesnake","Neonate",28.9,20,"neonate",NA,"nongravid",NA,1.38481385589544,1.53196481346481,1.53196481346481
"1220",2010-07-13,"JH","rattlesnake","433E06795F",80.5,333,"adult","male",NA,NA,1.53521900810998,1.3042739487544,1.53521900810998
"1221",2010-07-14,"Gus from CG","rattlesnake","1.79769E+308",33.2,23,"juvenile","female","nongravid",NA,1.35682632045769,1.29561158327987,1.35682632045769
"1222",2010-07-14,"Gus from campground","rattlesnake","456D3E2A5D",63.2,151,"adult","female","nongravid",NA,0.162691475113617,0.353364441266179,0.353364441266179
"1223",2010-07-14,"Gus from CG","rattlesnake","43602D1948 'Poseidon'",81.7,248,"adult","male",NA,NA,0.742238837373685,1.37023298973624,1.37023298973624
"1224",2010-07-16,"CG staff, EVL","rattlesnake","Neonate",27.1,13,"neonate",NA,"nongravid",NA,1.45011810525019,1.63090337493757,1.63090337493757
"1225",2010-07-16,"CG staff, Trevor, evl","rattlesnake","Neonate",26.5,13,"neonate",NA,"nongravid",NA,1.45011810525019,1.66388289542849,1.66388289542849
"1226",2010-07-16,"JH","rattlesnake","Neonate",28.2,25,"neonate",NA,"nongravid",NA,1.33816796349918,1.57044092070421,1.57044092070421
"1227",2010-07-18,"CG staff","rattlesnake","456F102247 ""Heckla""",72.5,244,"adult","male",NA,NA,0.704922123456682,0.864547008875454,0.864547008875454
"1228",2010-07-18,"CG staff, Barb","rattlesnake","472378767D",63.3,204,"adult","female","nongravid",NA,0.331754984286661,0.358861028014666,0.358861028014666
"1229",2010-07-19,"BE","rattlesnake","Neonate",25.6,14,"neonate",NA,"nongravid",NA,1.44078892677094,1.71335217616487,1.71335217616487
"1230",2010-07-18,"CG staff, barb","rattlesnake","484A6C2F7B",56.6,108,"adult","female","nongravid",NA,0.56384614972139,0.009410284133952,0.56384614972139
"1231",2010-07-20,"ARB, EVL","rattlesnake","497F7E5F79 Vegas",75.5,351,"adult","male",NA,"24.5",1.70314422073649,1.02944461133006,1.70314422073649
"1233",2010-07-19,"CG staff, JH","rattlesnake","485F4D1816",53.2,112,"adult","female","nongravid",NA,0.526529435804388,0.196294233582504,0.526529435804388
"1234",2010-07-20,"JH","rattlesnake","Neonate",28.7,17,"neonate",NA,"nongravid",NA,1.41280139133319,1.54295798696178,1.54295798696178
"1235",2010-07-21,"CG staff","rattlesnake","Neonate",28.1,14,"neonate",NA,NA,NA,1.44078892677094,1.5759375074527,1.5759375074527
"1236",2010-07-21,"CG staff","rattlesnake","484B7D7C77",61.2,106,"adult","female","nongravid",NA,0.582504506679892,0.243432706296442,0.582504506679892
"1237",2010-07-21,"ARB, EVL,SL","rattlesnake","Juvenile",29,16,"juvenile",NA,NA,"26.7",1.42213056981244,1.52646822671632,1.52646822671632
"1238",2010-07-21,"ARB, EVL, SL","rattlesnake","Juvenile",30.9,15,"juvenile",NA,NA,"28.7",1.43145974829169,1.42203307849507,1.43145974829169
"1239",2010-07-22,"BS","rattlesnake","Neonate",25.8,11,"neonate",NA,"nongravid","24.4",1.46877646220869,1.7023590026679,1.7023590026679
"1240",2010-07-22,"CG staff","rattlesnake","Juvenile",31.25,16,"juvenile",NA,NA,NA,1.42213056981244,1.40279502487536,1.42213056981244
"1241",2010-07-23,"JH","rattlesnake","484E7A663C",68.5,198,"adult","male",NA,NA,0.275779913411158,0.644683538935981,0.644683538935981
"1245",2010-07-22,"CG staff","rattlesnake","Neonate",25.8,11,"neonate",NA,NA,NA,1.46877646220869,1.7023590026679,1.7023590026679
"1246",2010-07-23,"CG staff","rattlesnake","Neonate",30.2,15,"neonate",NA,NA,NA,1.43145974829169,1.46050918573448,1.46050918573448
"1247",2010-07-23,"CG staff","rattlesnake","Neonate",25.5,10,"neonate",NA,NA,NA,1.47810564068794,1.71884876291336,1.71884876291336
"1248",2010-07-23,"CG staff","rattlesnake","Neonate",25.2,15,"neonate",NA,NA,NA,1.43145974829169,1.73533852315882,1.73533852315882
"1249",2010-07-23,"CG staff","rattlesnake","45310C3822",79,248,"adult","male",NA,NA,0.742238837373685,1.2218251475271,1.2218251475271
"1250",2010-07-26,"CG staff","rattlesnake","Juvenile",29.1,16,"juvenile",NA,"nongravid",NA,1.42213056981244,1.52097163996783,1.52097163996783
"1251",2010-07-26,"CG staff","rattlesnake","1.79769E+308",64.8,139,"adult","female","nongravid",NA,0.274641616864624,0.441309829241968,0.441309829241968
"1252",2010-07-27,"ARB, EVL, SL,TT","rattlesnake","4A1D670868",45.5,63,"sub.adult","female","nongravid","30.1",0.983659181287664,0.619531413215991,0.983659181287664
"1253",2010-07-27,"ARB, EVL, SL,TT","rattlesnake","484A710B41",41.2,52,"sub.adult","female","nongravid","28.6",1.08628014455942,0.855884643400924,1.08628014455942
"1254",2010-07-28,"CG staff","rattlesnake","Juvenile",33.3,39,"juvenile","male","nongravid",NA,1.20755946478968,1.29011499653138,1.29011499653138
"1255",2010-07-28,"Resort guest","rattlesnake","471D52253E",56.4,137,"adult","female","nongravid",NA,0.293299973823125,0.0204034576309258,0.293299973823125
"1256",2010-07-28,"MY","rattlesnake","Neonate",26.9,14,"neonate",NA,NA,NA,1.44078892677094,1.64189654843454,1.64189654843454
"1257",2010-07-28,"ARB, EVL, SL,TT","rattlesnake","484E1E7C4A",NA,110,"adult","male","nongravid","25.7",0.545187792762889,NA,0.545187792762889
"1258",2010-07-28,"ARB, EVL, SL,TT","rattlesnake","485D400016",50.3,102,"adult","male","nongravid","24.4",0.619821220596894,0.355695249288623,0.619821220596894
"1259",2010-07-27,"CG staff","rattlesnake","4462183A7A",66.9,97,"adult","female","nongravid",NA,0.666467112993146,0.556738150960192,0.666467112993146
"1260",2010-07-28,"CG staff","rattlesnake","43044C1500",62.7,103,"adult","female","nongravid",NA,0.610492042117643,0.325881507523745,0.610492042117643
"1261",2010-07-28,"CG staff","rattlesnake","484B7D7C77",60.4,102,"adult","female","nongravid",NA,0.619821220596894,0.199460012308548,0.619821220596894
"1262",2010-07-29,"ARB,  SL,","rattlesnake","4A4F691147",60.9,191,"adult","male",NA,"28.9",0.210475664056404,0.226942946050982,0.226942946050982
"1263",2010-07-29,"CG staff","rattlesnake","47241F4C34",62.3,128,"adult","female","nongravid",NA,0.37726258013638,0.303895160529797,0.37726258013638
"1264",2010-07-29,"ARB, EVL, TT","rattlesnake","484C612177",50.1,97,"adult","male",NA,"28.6",0.666467112993146,0.366688422785596,0.666467112993146
"1265",2010-07-29,"ARB, EVL, TT","rattlesnake","484B735E7C",57.5,124,"adult","male","nongravid","28.6",0.414579294053382,0.0400589966024294,0.414579294053382
"1266",2010-08-02,"CG staff","rattlesnake","456D3E2A5D",65.1,171,"adult","female","nongravid",NA,0.0238920944713933,0.457799589487428,0.457799589487428
"1267",2010-08-03,"CG staff","rattlesnake","Neonate",25.8,13,"neonate",NA,NA,NA,1.45011810525019,1.7023590026679,1.7023590026679
"1268",2010-08-03,"CG staff","rattlesnake","Neonate",28.1,12,"neonate",NA,NA,NA,1.45944728372944,1.5759375074527,1.5759375074527
"1269",2010-08-03,"CG staff","rattlesnake","Juvenile",36.5,36,"juvenile",NA,NA,NA,1.23554700022743,1.11422422057981,1.23554700022743
"1270",2010-08-04,"ARB, SL,","rattlesnake","Neonate",30.8,17,"neonate",NA,NA,NA,1.41280139133319,1.42752966524356,1.42752966524356
"1271",2010-08-05,"CG staff","rattlesnake","43602D1948 'Poseidon'",70.9,229,"adult","male",NA,NA,0.564984446267924,0.776601620899665,0.776601620899665
"1273",2010-08-06,"ARB, EVL, SL,","rattlesnake","Juvenile",39.7,39,"juvenile",NA,NA,"29.3",1.20755946478968,0.938333444628227,1.20755946478968
"1274",2010-08-06,"ARB, EVL, SL","rattlesnake","45773B206C",65.6,117,"adult","female","nongravid","24.4",0.479883543408136,0.485282523229863,0.485282523229863
"1275",2010-08-09,"ARB, SL","rattlesnake","484E1E7C4A",52.9,112,"adult","male",NA,"23.9",0.526529435804388,0.212783993827965,0.526529435804388
"1276",2010-08-09,"JH","rattlesnake","433E06795F",73.1,313,"adult","male",NA,NA,1.34863543852497,0.897526529366375,1.34863543852497
"1277",2010-08-11,"","rattlesnake","Neonate",27.9,11,"neonate",NA,NA,NA,1.46877646220869,1.58693068094967,1.58693068094967
