"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-01","2017","01","01","","-0.1","","-5.1","","-2.6","","20.6","","0.0","","","M","","M","3.0","","12","","33","","33",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-02","2017","01","02","","-2.1","","-8.7","","-5.4","","23.4","","0.0","","","M","","M","0.0","","12","","32","","37",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-03","2017","01","03","","-6.9","","-13.4","","-10.2","","28.2","","0.0","","","M","","M","0.0","","11","","34","","41",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-04","2017","01","04","","-7.1","","-13.0","","-10.1","","28.1","","0.0","","","M","","M","0.2","","11","","32","","43",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-05","2017","01","05","","-8.4","","-15.0","","-11.7","","29.7","","0.0","","","M","","M","0.0","","11","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-06","2017","01","06","","-7.5","","-15.0","","-11.3","","29.3","","0.0","","","M","","M","0.0","","11","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-07","2017","01","07","","-9.5","","-17.7","","-13.6","","31.6","","0.0","","","M","","M","0.0","","11","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-08","2017","01","08","","-5.4","","-12.4","","-8.9","","26.9","","0.0","","","M","","M","5.3","","11","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-09","2017","01","09","","-1.6","","-5.7","","-3.7","","21.7","","0.0","","","M","","M","0.0","","16","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-10","2017","01","10","","-2.6","","-9.0","","-5.8","","23.8","","0.0","","","M","","M","0.0","","15","","34","","50",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-11","2017","01","11","","-6.6","","-14.7","","-10.7","","28.7","","0.0","","","M","","M","0.0","","14","","36","","50",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-12","2017","01","12","","-8.9","","-20.6","","-14.8","","32.8","","0.0","","","M","","M","0.2","","13","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-13","2017","01","13","","-9.2","","-19.8","","-14.5","","32.5","","0.0","","","M","","M","0.0","","13","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-14","2017","01","14","","-7.1","","-18.3","","-12.7","","30.7","","0.0","","","M","","M","0.0","","13","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-15","2017","01","15","","-4.7","","-7.1","","-5.9","","23.9","","0.0","","","M","","M","0.0","","13","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-16","2017","01","16","","-4.1","","-6.4","","-5.3","","23.3","","0.0","","","M","","M","0.0","","13","","17","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-17","2017","01","17","","-2.9","","-6.2","","-4.6","","22.6","","0.0","","","M","","M","0.2","","13","","14","","35",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-18","2017","01","18","","1.8","","-4.1","","-1.2","","19.2","","0.0","","","M","","M","5.2","","13","","16","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2017-01-19","2017","01","19","","3.0","","0.6","","1.8","","16.2","","0.0","","","M","","M","4.8","","12","","","","<31",""
