"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.44","49.03","OSOYOOS CS","1125852","2012-01-01","2012","01","01","","3.2","","-2.9","","0.2","","17.8","","0.0","","","M","","M","","M","","","16","","33",""
"-119.44","49.03","OSOYOOS CS","1125852","2012-01-02","2012","01","02","","3.3","","-1.5","","0.9","","17.1","","0.0","","","M","","M","","M","","","17","","39",""
"-119.44","49.03","OSOYOOS CS","1125852","2012-01-03","2012","01","03","","3.9","","-0.1","","1.9","","16.1","","0.0","","","M","","M","","M","","","17","","39",""
"-119.44","49.03","OSOYOOS CS","1125852","2012-01-04","2012","01","04","","8.3","","2.2","","5.3","","12.7","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2012-01-05","2012","01","05","","10.5","","-2.3","","4.1","","13.9","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2012-01-06","2012","01","06","","4.5","","-4.7","","-0.1","","18.1","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2012-01-07","2012","01","07","","1.1","","-6.8","","-2.9","","20.9","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2012-01-08","2012","01","08","","3.9","","-0.5","","1.7","","16.3","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2012-01-09","2012","01","09","","4.1","","1.5","","2.8","","15.2","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2012-01-10","2012","01","10","","4.7","","-1.3","","1.7","","16.3","","0.0","","","M","","M","","M","","","1","","63",""
