"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-01","2015","01","01","","-2.5","","-7.0","","-4.8","","22.8","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-02","2015","01","02","","-2.3","","-7.7","","-5.0","","23.0","","0.0","","","M","","M","0.5","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-03","2015","01","03","","-2.4","","-9.5","","-6.0","","24.0","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-04","2015","01","04","","-1.2","","-5.8","","-3.5","","21.5","","0.0","","","M","","M","4.2","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-05","2015","01","05","","0.4","","-1.9","","-0.8","","18.8","","0.0","","","M","","M","11.8","","7","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-06","2015","01","06","","","M","-0.7","E","","M","","M","","M","","M","","M","","M","14","","","M","","M"
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-07","2015","01","07","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-08","2015","01","08","","3.9","","0.3","","2.1","","15.9","","0.0","","","M","","M","0.0","","8","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-09","2015","01","09","","1.4","","-1.1","","0.2","","17.8","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-10","2015","01","10","","2.0","","-3.1","","-0.6","","18.6","","0.0","","","M","","M","0.2","","4","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-11","2015","01","11","","2.0","","-3.9","","-1.0","","19.0","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-12","2015","01","12","","4.5","","-1.8","","1.4","","16.6","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-13","2015","01","13","","1.7","","-1.5","","0.1","","17.9","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-14","2015","01","14","","1.9","","-0.2","","0.9","","17.1","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-15","2015","01","15","","1.6","","-0.2","","0.7","","17.3","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-16","2015","01","16","","3.1","","-0.4","","1.4","","16.6","","0.0","","","M","","M","0.4","","3","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-17","2015","01","17","","1.7","","0.0","","0.9","","17.1","","0.0","","","M","","M","3.6","","3","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-18","2015","01","18","","7.8","","-0.3","","3.8","","14.2","","0.0","","","M","","M","2.3","","4","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-19","2015","01","19","","6.6","","-2.1","","2.3","","15.7","","0.0","","","M","","M","0.2","","2","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-20","2015","01","20","","-0.4","","-5.6","","-3.0","","21.0","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-21","2015","01","21","","-1.7","","-6.2","","-4.0","","22.0","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-22","2015","01","22","","2.8","","-1.8","","0.5","","17.5","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-23","2015","01","23","","3.8","","1.7","","2.8","","15.2","","0.0","","","M","","M","0.0","","0","T","17","","33",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-24","2015","01","24","","4.5","","1.4","","3.0","","15.0","","0.0","","","M","","M","0.5","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-25","2015","01","25","","7.0","","2.3","","4.7","","13.3","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-26","2015","01","26","","4.2","","0.5","","2.4","","15.6","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-27","2015","01","27","","4.7","","0.9","","2.8","","15.2","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-28","2015","01","28","","4.1","","2.1","","3.1","","14.9","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-29","2015","01","29","","3.5","","0.8","","2.2","","15.8","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-30","2015","01","30","","4.2","","1.1","","2.7","","15.3","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-01-31","2015","01","31","","6.4","","1.1","","3.8","","14.2","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-02-01","2015","02","01","","4.1","","0.4","","2.3","","15.7","","0.0","","","M","","M","2.8","","0","T","14","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-02-02","2015","02","02","","4.5","","0.9","","2.7","","15.3","","0.0","","","M","","M","0.2","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-02-03","2015","02","03","","4.7","","-0.1","","2.3","","15.7","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-02-04","2015","02","04","","3.5","","1.0","","2.3","","15.7","","0.0","","","M","","M","0.7","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-02-05","2015","02","05","","7.5","","2.7","","5.1","","12.9","","0.0","","","M","","M","0.6","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-02-06","2015","02","06","","12.5","","5.1","","8.8","","9.2","","0.0","","","M","","M","0.9","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-02-07","2015","02","07","","11.3","","5.6","","8.5","","9.5","","0.0","","","M","","M","0.2","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-02-08","2015","02","08","","12.4","","6.1","","9.3","","8.7","","0.0","","","M","","M","0.3","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-02-09","2015","02","09","","9.1","","5.4","","7.3","","10.7","","0.0","","","M","","M","3.6","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-02-10","2015","02","10","","11.2","","6.0","","8.6","","9.4","","0.0","","","M","","M","0.4","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-02-11","2015","02","11","","12.2","","7.8","","10.0","","8.0","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-02-12","2015","02","12","","12.7","","6.8","","9.8","","8.2","","0.0","","","M","","M","0.2","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-02-13","2015","02","13","","10.7","","6.2","","8.5","","9.5","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-02-14","2015","02","14","","9.5","","2.4","","6.0","","12.0","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2015-02-15","2015","02","15","","12.8","","-0.9","","6.0","","12.0","","0.0","","","M","","M","0.0","","0","T","32","","32",""
