"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-01","2013","01","01","","-4.0","","-6.8","","-5.4","","23.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-02","2013","01","02","","-2.8","","-5.9","","-4.4","","22.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-03","2013","01","03","","-1.8","","-3.8","","-2.8","","20.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-04","2013","01","04","","-1.9","","-6.1","","-4.0","","22.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-05","2013","01","05","","-1.1","","-4.7","","-2.9","","20.9","","0.0","","0.0","","","M","1.6","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-06","2013","01","06","","0.1","","-1.7","","-0.8","","18.8","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-07","2013","01","07","","0.7","","-2.0","","-0.7","","18.7","","0.0","","0.0","","","M","6.0","","3","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-08","2013","01","08","","1.5","","-2.5","","-0.5","","18.5","","0.0","","0.0","","","M","3.6","","7","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-09","2013","01","09","","6.9","","-1.5","","2.7","","15.3","","0.0","","","M","","M","0.2","","5","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-10","2013","01","10","","3.7","","-0.9","","1.4","","16.6","","0.0","","","M","","M","0.0","","1","","34","","56",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-11","2013","01","11","","0.2","","-9.3","","-4.6","","22.6","","0.0","","","M","","M","0.0","","","","34","","48",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-12","2013","01","12","","-2.9","","-12.5","","-7.7","","25.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-13","2013","01","13","","-3.0","","-6.8","","-4.9","","22.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-14","2013","01","14","","-2.4","","-9.1","","-5.8","","23.8","","0.0","","","M","","M","0.7","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-15","2013","01","15","","-4.7","","-11.7","","-8.2","","26.2","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-16","2013","01","16","","-2.6","","-5.1","","-3.9","","21.9","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-17","2013","01","17","","-2.1","","-4.1","","-3.1","","21.1","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-18","2013","01","18","","-1.4","","-2.7","","-2.1","","20.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-19","2013","01","19","","-2.6","","-4.5","","-3.6","","21.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-20","2013","01","20","","-3.2","","-5.4","","-4.3","","22.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-21","2013","01","21","","-4.2","","-7.7","","-6.0","","24.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-22","2013","01","22","","-6.4","","-9.3","","-7.9","","25.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-23","2013","01","23","","-0.8","","-6.9","","-3.9","","21.9","","0.0","","","M","","M","1.8","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-24","2013","01","24","","-0.1","","-1.9","","-1.0","","19.0","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-25","2013","01","25","","0.6","","-1.5","","-0.5","","18.5","","0.0","","","M","","M","0.0","","2","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-26","2013","01","26","","3.6","","-0.6","","1.5","","16.5","","0.0","","","M","","M","0.0","","2","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-27","2013","01","27","","1.0","","-0.5","","0.3","","17.7","","0.0","","","M","","M","0.2","","1","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-28","2013","01","28","","0.0","","-1.6","","-0.8","","18.8","","0.0","","","M","","M","1.2","","1","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-29","2013","01","29","","1.7","","-2.5","","-0.4","","18.4","","0.0","","0.0","","","M","3.6","","2","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-30","2013","01","30","","-0.3","","-6.8","","-3.6","","21.6","","0.0","","","M","","M","0.0","","5","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-01-31","2013","01","31","","1.4","","-7.2","","-2.9","","20.9","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-01","2013","02","01","","0.2","","-8.2","","-4.0","","22.0","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-02","2013","02","02","","-3.7","","-7.9","","-5.8","","23.8","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-03","2013","02","03","","1.8","","-5.3","","-1.8","","19.8","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-04","2013","02","04","","3.4","","0.3","","1.9","","16.1","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-05","2013","02","05","","5.9","","1.3","","3.6","","14.4","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-06","2013","02","06","","5.0","","-1.2","","1.9","","16.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-07","2013","02","07","","5.0","","-2.1","","1.5","","16.5","","0.0","","","M","","M","0.7","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-08","2013","02","08","","5.0","","-5.1","","-0.1","","18.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-09","2013","02","09","","9.1","","-3.8","","2.7","","15.3","","0.0","","","M","","M","0.0","","","","33","","33",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-10","2013","02","10","","7.2","","-2.6","","2.3","","15.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-11","2013","02","11","","2.4","","-5.4","","-1.5","","19.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-12","2013","02","12","","4.9","","-1.4","","1.8","","16.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-13","2013","02","13","","6.8","","-3.0","","1.9","","16.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-14","2013","02","14","","7.2","","-3.0","","2.1","","15.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-15","2013","02","15","","7.3","","-4.1","","1.6","","16.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-16","2013","02","16","","5.6","","0.5","","3.1","","14.9","","0.0","","","M","","M","0.2","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-17","2013","02","17","","5.2","","-1.5","","1.9","","16.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-18","2013","02","18","","4.3","","-3.4","","0.5","","17.5","","0.0","","","M","","M","0.2","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-19","2013","02","19","","6.6","","-0.2","","3.2","","14.8","","0.0","","","M","","M","0.2","","","","36","","44",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-20","2013","02","20","","5.0","","-5.8","","-0.4","","18.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-21","2013","02","21","","4.6","","-5.1","","-0.3","","18.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-22","2013","02","22","","7.5","","-2.4","","2.6","","15.4","","0.0","","","M","","M","3.6","","","","16","","35",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-23","2013","02","23","","10.4","","-1.8","","4.3","","13.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-24","2013","02","24","","5.3","","-3.1","","1.1","","16.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-25","2013","02","25","","6.0","","-1.5","","2.3","","15.7","","0.0","","","M","","M","0.4","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-26","2013","02","26","","7.9","","-4.2","","1.9","","16.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-27","2013","02","27","","8.5","","-0.6","","4.0","","14.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-02-28","2013","02","28","","7.7","","-0.1","","3.8","","14.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-01","2013","03","01","","12.8","","4.5","","8.7","","9.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-02","2013","03","02","","13.0","","2.6","","7.8","","10.2","","0.0","","","M","","M","0.3","","","","15","","33",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-03","2013","03","03","","8.4","","1.6","","5.0","","13.0","","0.0","","","M","","M","0.0","","","","35","","37",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-04","2013","03","04","","9.6","","-2.6","","3.5","","14.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-05","2013","03","05","","7.7","","-0.4","","3.7","","14.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-06","2013","03","06","","5.2","","1.3","","3.3","","14.7","","0.0","","","M","","M","5.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-07","2013","03","07","","7.2","","1.7","","4.5","","13.5","","0.0","","","M","","M","3.3","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-08","2013","03","08","","9.8","","2.3","","6.1","","11.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-09","2013","03","09","","13.2","","-3.3","","5.0","","13.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-10","2013","03","10","","10.8","","0.8","","5.8","","12.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-11","2013","03","11","","11.9","","-3.0","","4.5","","13.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-12","2013","03","12","","16.6","","4.5","","10.6","","7.4","","0.0","","","M","","M","0.2","","","","15","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-13","2013","03","13","","18.1","","4.6","","11.4","","6.6","","0.0","","","M","","M","0.0","","","","18","","43",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-14","2013","03","14","","16.9","","9.3","","13.1","","4.9","","0.0","","","M","","M","0.0","","","","16","","39",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-15","2013","03","15","","17.0","","2.3","","9.7","","8.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-16","2013","03","16","","13.9","","3.0","","8.5","","9.5","","0.0","","","M","","M","0.0","","","","18","","41",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-17","2013","03","17","","10.1","","2.0","","6.1","","11.9","","0.0","","","M","","M","0.0","","","","35","","43",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-18","2013","03","18","","9.8","","-1.9","","4.0","","14.0","","0.0","","","M","","M","0.2","","","","31","","33",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-19","2013","03","19","","9.6","","-5.3","","2.2","","15.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-20","2013","03","20","","12.0","","3.3","","7.7","","10.3","","0.0","","","M","","M","3.6","","","","15","","43",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-21","2013","03","21","","9.6","","-1.4","","4.1","","13.9","","0.0","","","M","","M","0.0","","","","36","","37",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-22","2013","03","22","","8.6","","-4.7","","2.0","","16.0","","0.0","","","M","","M","0.0","","","","34","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-23","2013","03","23","","10.2","","-5.8","","2.2","","15.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-24","2013","03","24","","10.8","","-5.9","","2.5","","15.5","","0.0","","","M","","M","0.0","","","","15","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-25","2013","03","25","","13.0","","-5.0","","4.0","","14.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-26","2013","03","26","","16.3","","-4.6","","5.9","","12.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-27","2013","03","27","","17.9","","-1.9","","8.0","","10.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-28","2013","03","28","","19.3","","4.5","","11.9","","6.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-29","2013","03","29","","19.8","","-0.3","","9.8","","8.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-30","2013","03","30","","20.7","","0.4","","10.6","","7.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-03-31","2013","03","31","","23.0","","0.4","","11.7","","6.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-04-01","2013","04","01","","23.6","","1.8","","12.7","","5.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-04-02","2013","04","02","","22.5","","2.8","","12.7","","5.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-04-03","2013","04","03","","21.3","","6.3","","13.8","","4.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-04-04","2013","04","04","","14.6","","8.7","","11.7","","6.3","","0.0","","","M","","M","0.3","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2013-04-05","2013","04","05","","18.9","","10.9","","14.9","","3.1","","0.0","","","M","","M","0.0","","","","16","","33",""
