"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-01","2020","01","01","","8.3","","-0.8","","3.8","","14.2","","0.0","","","","","","","M","","","","","",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-02","2020","01","02","","7.8","","-0.8","","3.5","","14.5","","0.0","","","","","","","M","","","35","","39",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-03","2020","01","03","","9.7","","2.2","","6.0","","12.0","","0.0","","","","","","","M","","","","","",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-04","2020","01","04","","10.3","","3.3","","6.8","","11.2","","0.0","","","","","","","M","","","35","","38",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-05","2020","01","05","","5.1","","1.8","","3.4","","14.6","","0.0","","","","","","","M","","","","","",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-06","2020","01","06","","4.2","","0.5","","2.3","","15.7","","0.0","","","","","","","M","","","","","",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-07","2020","01","07","","8.7","","1.3","","5.0","","13.0","","0.0","","","","","","","M","","","","","",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-08","2020","01","08","","8.7","","0.6","","4.7","","13.3","","0.0","","","","","","","M","","","32","","45",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-09","2020","01","09","","1.7","","-5.6","","-1.9","","19.9","","0.0","","","","","","","M","","","","","",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-10","2020","01","10","","1.0","","-5.2","","-2.1","","20.1","","0.0","","","","","","","M","","","","","",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-11","2020","01","11","","2.4","","0.4","","1.4","","16.6","","0.0","","","","","","","M","2","","","","",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-12","2020","01","12","","2.0","","-8.4","","-3.2","","21.2","","0.0","","","","","","","M","","","31","","67",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-13","2020","01","13","","-8.3","","-14.0","","-11.2","","29.2","","0.0","","","","","","","M","","","35","","69",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-14","2020","01","14","","-11.7","","-13.8","","-12.7","","30.7","","0.0","","","","","","","M","","","32","","45",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-15","2020","01","15","","-11.8","","-14.1","","-13.0","","31.0","","0.0","","","","","","","M","","","","","",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-16","2020","01","16","","-7.0","","-12.6","","-9.8","","27.8","","0.0","","","","","","","M","12","","","","",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-17","2020","01","17","","-5.6","","-13.0","","-9.3","","27.3","","0.0","","","","","","","M","18","","","","",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-18","2020","01","18","","-0.2","","-7.2","","-3.7","","21.7","","0.0","","","","","","","M","15","","","","",""
"-119.44","49.03","OSOYOOS CS","1125852","2020-01-19","2020","01","19","","3.7","","-1.4","","1.1","","16.9","","0.0","","","","","","","M","14","","15","","32",""
