"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-01","2010","01","01","","3.6","","-1.0","","1.3","","16.7","","0.0","","","M","","M","","M","","","17","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-02","2010","01","02","","5.0","","1.5","","3.3","","14.7","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-03","2010","01","03","","3.4","","0.2","","1.8","","16.2","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-04","2010","01","04","","1.2","","0.2","","0.7","","17.3","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-05","2010","01","05","","4.8","","-0.8","","2.0","","16.0","","0.0","","","M","","M","","M","","","36","","59",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-06","2010","01","06","","-0.1","","-10.5","","-5.3","","23.3","","0.0","","","M","","M","","M","","","31","","39",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-07","2010","01","07","","-4.5","","-12.0","","-8.3","","26.3","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-08","2010","01","08","","0.2","","-5.5","","-2.7","","20.7","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-09","2010","01","09","","1.8","","-1.1","","0.4","","17.6","","0.0","","","M","","M","","M","","","17","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-10","2010","01","10","","4.7","","0.3","","2.5","","15.5","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-11","2010","01","11","","5.5","","2.4","","4.0","","14.0","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-12","2010","01","12","","6.5","E","2.0","E","4.3","E","13.7","E","0.0","E","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-13","2010","01","13","","4.6","","1.5","","3.1","","14.9","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-14","2010","01","14","","6.0","","2.2","","4.1","","13.9","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-15","2010","01","15","","8.9","","0.0","","4.5","","13.5","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-16","2010","01","16","","5.7","","-3.6","","1.1","","16.9","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-17","2010","01","17","","4.2","","1.2","","2.7","","15.3","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-18","2010","01","18","","10.4","","0.2","","5.3","","12.7","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-19","2010","01","19","","3.7","","-0.4","","1.7","","16.3","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-20","2010","01","20","","5.2","","-0.3","","2.5","","15.5","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-21","2010","01","21","","6.5","","0.2","","3.4","","14.6","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-22","2010","01","22","","5.8","","-0.3","","2.8","","15.2","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-23","2010","01","23","","5.1","","-2.1","","1.5","","16.5","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-24","2010","01","24","","2.0","","-4.4","","-1.2","","19.2","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-25","2010","01","25","","7.0","","1.9","","4.5","","13.5","","0.0","","","M","","M","","M","","","17","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-26","2010","01","26","","7.2","","-1.6","","2.8","","15.2","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-27","2010","01","27","","4.0","","-3.4","","0.3","","17.7","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-28","2010","01","28","","4.9","","2.0","","3.5","","14.5","","0.0","","","M","","M","","M","","","16","","33",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-29","2010","01","29","","6.2","","1.0","","3.6","","14.4","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-30","2010","01","30","","5.9","","1.6","","3.8","","14.2","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-01-31","2010","01","31","","5.6","","1.0","","3.3","","14.7","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-01","2010","02","01","","6.0","","2.0","","4.0","","14.0","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-02","2010","02","02","","6.2","","2.6","","4.4","","13.6","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-03","2010","02","03","","5.1","","1.9","","3.5","","14.5","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-04","2010","02","04","","6.9","","2.6","","4.8","","13.2","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-05","2010","02","05","","5.7","","1.8","","3.8","","14.2","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-06","2010","02","06","","8.4","","-1.1","","3.7","","14.3","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-07","2010","02","07","","6.8","","-3.5","","1.7","","16.3","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-08","2010","02","08","","5.6","","2.1","","3.9","","14.1","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-09","2010","02","09","","8.4","","1.7","","5.1","","12.9","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-10","2010","02","10","","7.1","","2.1","","4.6","","13.4","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-11","2010","02","11","","6.3","","3.9","","5.1","","12.9","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-12","2010","02","12","","7.8","","4.2","","6.0","","12.0","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-13","2010","02","13","","8.4","","4.6","","6.5","","11.5","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-14","2010","02","14","","8.5","","2.8","","5.7","","12.3","","0.0","","","M","","M","","M","","","16","","33",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-15","2010","02","15","","9.3","","2.7","","6.0","","12.0","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-16","2010","02","16","","9.9","","2.6","","6.3","","11.7","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-17","2010","02","17","","11.4","","-1.6","","4.9","","13.1","","0.0","","","M","","M","","M","","","35","","41",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-18","2010","02","18","","8.5","","0.7","","4.6","","13.4","","0.0","","","M","","M","","M","","","33","","35",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-19","2010","02","19","","8.3","","-3.0","","2.7","","15.3","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-20","2010","02","20","","6.6","","-1.4","","2.6","","15.4","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-21","2010","02","21","","6.7","","-3.2","","1.8","","16.2","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-22","2010","02","22","","9.1","","-5.3","","1.9","","16.1","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-23","2010","02","23","","8.0","","-5.0","","1.5","","16.5","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-24","2010","02","24","","6.5","","2.5","","4.5","","13.5","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-25","2010","02","25","","12.1","","0.7","","6.4","","11.6","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-26","2010","02","26","","9.2","","-0.3","","4.5","","13.5","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-27","2010","02","27","","12.3","","4.1","","8.2","","9.8","","0.0","","","M","","M","","M","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-02-28","2010","02","28","","11.0","","1.2","","6.1","","11.9","","0.0","","","M","","M","","M","","","15","","37",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-01","2010","03","01","","13.7","","2.5","","8.1","","9.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-02","2010","03","02","","16.0","","2.3","","9.2","","8.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-03","2010","03","03","","9.0","","2.6","","5.8","","12.2","","0.0","","","M","","M","0.4","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-04","2010","03","04","","13.9","","4.2","","9.1","","8.9","","0.0","","","M","","M","0.8","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-05","2010","03","05","","14.6","","-1.2","","6.7","","11.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-06","2010","03","06","","14.7","","-3.3","","5.7","","12.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-07","2010","03","07","","13.7","","-2.0","","5.9","","12.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-08","2010","03","08","","9.0","","3.0","","6.0","","12.0","","0.0","","","M","","M","0.0","","","","35","","43",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-09","2010","03","09","","9.1","","-7.0","","1.1","","16.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-10","2010","03","10","","10.0","","-1.5","","4.3","","13.7","","0.0","","","M","","M","0.0","","","","16","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-11","2010","03","11","","6.7","","2.7","","4.7","","13.3","","0.0","","","M","","M","1.2","","","","16","","33",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-12","2010","03","12","","10.9","","4.5","","7.7","","10.3","","0.0","","","M","","M","7.0","","","","1","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-13","2010","03","13","","12.2","","-0.3","","6.0","","12.0","","0.0","","","M","","M","0.2","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-14","2010","03","14","","12.7","","-2.2","","5.3","","12.7","","0.0","","","M","","M","0.0","","","","19","","33",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-15","2010","03","15","","15.1","","6.4","","10.8","","7.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-16","2010","03","16","","18.5","","7.1","","12.8","","5.2","","0.0","","","M","","M","0.0","","","","15","","43",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-17","2010","03","17","","13.8","","1.2","","7.5","","10.5","","0.0","","","M","","M","0.0","","","","32","","35",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-18","2010","03","18","","12.5","","-3.2","","4.7","","13.3","","0.0","","","M","","M","0.0","","","","35","","41",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-19","2010","03","19","","13.7","","-4.1","","4.8","","13.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-20","2010","03","20","","14.5","","-4.6","","5.0","","13.0","","0.0","","","M","","M","0.0","","","","15","","39",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-21","2010","03","21","","15.9","","4.5","","10.2","","7.8","","0.0","","","M","","M","0.0","","","","28","","33",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-22","2010","03","22","","15.4","","0.6","","8.0","","10.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-23","2010","03","23","","16.2","","-1.6","","7.3","","10.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-24","2010","03","24","","17.3","","0.7","","9.0","","9.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-25","2010","03","25","","16.5","","1.0","","8.8","","9.2","","0.0","","","M","","M","0.0","","","","13","","33",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-26","2010","03","26","","15.5","","4.7","","10.1","","7.9","","0.0","","","M","","M","0.6","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-27","2010","03","27","","14.5","","-0.4","","7.1","","10.9","","0.0","","","M","","M","0.0","","","","18","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-28","2010","03","28","","16.7","","7.1","","11.9","","6.1","","0.0","","","M","","M","0.0","","","","16","","50",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-29","2010","03","29","","15.7","","7.3","","11.5","","6.5","","0.0","","","M","","M","0.6","","","","16","","48",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-30","2010","03","30","","13.4","","0.7","","7.1","","10.9","","0.0","","","M","","M","1.2","","","","32","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-03-31","2010","03","31","","12.8","","-2.5","","5.2","","12.8","","0.0","","","M","","M","0.2","","","","18","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-04-01","2010","04","01","","13.6","","-3.5","","5.1","","12.9","","0.0","","","M","","M","0.0","","","","16","","37",""
"-119.44","49.03","OSOYOOS CS","1125852","2010-04-02","2010","04","02","","6.2","","0.2","","3.2","","14.8","","0.0","","","M","","M","0.2","","","","17","","32",""
