"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-01","2014","01","01","","0.3","","-7.1","","-3.4","","21.4","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-02","2014","01","02","","3.0","","-0.8","","1.1","","16.9","","0.0","","","M","","M","0.2","","3","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-03","2014","01","03","","4.4","","-1.1","","1.7","","16.3","","0.0","","","M","","M","0.7","","1","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-04","2014","01","04","","3.9","","-7.2","","-1.7","","19.7","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-05","2014","01","05","","1.4","","-10.6","","-4.6","","22.6","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-06","2014","01","06","","-2.9","","-10.5","","-6.7","","24.7","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-07","2014","01","07","","-1.4","","-7.0","","-4.2","","22.2","","0.0","","","M","","M","0.5","","1","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-08","2014","01","08","","0.4","","-3.7","","-1.7","","19.7","","0.0","","","M","","M","","M","3","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-09","2014","01","09","","0.2","","-1.2","","-0.5","","18.5","","0.0","","","M","","M","0.6","","2","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-10","2014","01","10","","5.0","","-0.4","","2.3","","15.7","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-11","2014","01","11","","11.3","","2.4","","6.9","","11.1","","0.0","","","M","","M","3.2","","1","","14","","39",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-12","2014","01","12","","7.7","","2.1","","4.9","","13.1","","0.0","","","M","","M","0.0","","0","T","26","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-13","2014","01","13","","16.1","","3.5","","9.8","","8.2","","0.0","","","M","","M","0.0","","0","T","36","","35",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-14","2014","01","14","","8.2","","-0.8","","3.7","","14.3","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-15","2014","01","15","","8.2","","-2.1","","3.1","","14.9","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-16","2014","01","16","","1.1","","-4.8","","-1.9","","19.9","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-17","2014","01","17","","0.8","","-1.7","","-0.5","","18.5","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-18","2014","01","18","","1.1","","-1.1","","0.0","","18.0","","0.0","","","M","","M","0.0","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-19","2014","01","19","","2.5","","0.0","","1.3","","16.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-20","2014","01","20","","2.1","","-1.3","","0.4","","17.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-21","2014","01","21","","0.0","","-1.2","","-0.6","","18.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-22","2014","01","22","","3.0","","-1.2","","0.9","","17.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-23","2014","01","23","","6.4","","-5.7","","0.4","","17.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-24","2014","01","24","","2.0","","0.0","","1.0","","17.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-25","2014","01","25","","1.0","","-0.3","","0.4","","17.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-26","2014","01","26","","0.9","","-0.8","","0.1","","17.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-27","2014","01","27","","3.1","","-0.5","","1.3","","16.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-28","2014","01","28","","2.4","","0.7","","1.6","","16.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-29","2014","01","29","","0.9","","-1.9","","-0.5","","18.5","","0.0","","","M","","M","5.1","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-30","2014","01","30","","2.6","","-3.2","","-0.3","","18.3","","0.0","","","M","","M","2.0","","5","","34","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-01-31","2014","01","31","","0.7","","-4.7","","-2.0","","20.0","","0.0","","","M","","M","0.0","","4","","30","","33",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-01","2014","02","01","","-2.6","","-13.6","","-8.1","","26.1","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-02","2014","02","02","","-1.2","","-8.8","","-5.0","","23.0","","0.0","","","M","","M","0.0","","4","","32","","39",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-03","2014","02","03","","-2.1","","-4.9","","-3.5","","21.5","","0.0","","","M","","M","0.0","","4","","35","","44",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-04","2014","02","04","","-3.9","","-7.8","","-5.9","","23.9","","0.0","","","M","","M","0.0","","2","","32","","39",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-05","2014","02","05","","-6.2","","-15.5","","-10.9","","28.9","","0.0","","","M","","M","0.0","","2","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-06","2014","02","06","","-7.0","","-19.3","","-13.2","","31.2","","0.0","","","M","","M","0.2","","2","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-07","2014","02","07","","-4.2","","-10.6","","-7.4","","25.4","","0.0","","","M","","M","0.9","","2","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-08","2014","02","08","","-4.6","","-11.2","","-7.9","","25.9","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-09","2014","02","09","","-1.6","","-8.2","","-4.9","","22.9","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-10","2014","02","10","","0.6","","-4.0","","-1.7","","19.7","","0.0","","","M","","M","0.2","","3","","14","","37",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-11","2014","02","11","","-0.1","","-3.4","","-1.8","","19.8","","0.0","","","M","","M","1.1","","2","","15","","33",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-12","2014","02","12","","14.1","","-0.9","","6.6","","11.4","","0.0","","","M","","M","5.3","","6","","15","","44",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-13","2014","02","13","","13.6","","0.2","","6.9","","11.1","","0.0","","","M","","M","0.0","","0","T","29","","37",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-14","2014","02","14","","7.9","","-1.0","","3.5","","14.5","","0.0","","","M","","M","4.7","","0","T","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-15","2014","02","15","","5.6","","-3.1","","1.3","","16.7","","0.0","","","M","","M","3.2","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-16","2014","02","16","","8.4","","1.3","","4.9","","13.1","","0.0","","","M","","M","0.4","","","","14","","37",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-17","2014","02","17","","8.4","","-1.4","","3.5","","14.5","","0.0","","","M","","M","2.3","","","","15","","37",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-18","2014","02","18","","4.9","","-2.2","","1.4","","16.6","","0.0","","","M","","M","5.5","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-19","2014","02","19","","8.0","","-1.5","","3.3","","14.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-20","2014","02","20","","10.6","","-0.1","","5.3","","12.7","","0.0","","","M","","M","0.2","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-21","2014","02","21","","5.3","","-2.8","","1.3","","16.7","","0.0","","","M","","M","0.4","","","","31","","39",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-22","2014","02","22","","2.4","","-4.8","","-1.2","","19.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-23","2014","02","23","","-0.4","","-2.6","","-1.5","","19.5","","0.0","","","M","","M","4.1","","1","","32","","32",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-24","2014","02","24","","-1.8","","-4.4","","-3.1","","21.1","","0.0","","","M","","M","2.9","","2","","32","","33",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-25","2014","02","25","","-0.5","","-10.4","","-5.5","","23.5","","0.0","","","M","","M","0.2","","4","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-26","2014","02","26","","0.9","","-11.8","","-5.5","","23.5","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-27","2014","02","27","","4.3","","-6.7","","-1.2","","19.2","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-02-28","2014","02","28","","7.2","","-1.8","","2.7","","15.3","","0.0","","","M","","M","0.0","","1","","33","","48",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-03-01","2014","03","01","","2.2","","-4.4","","-1.1","","19.1","","0.0","","","M","","M","0.0","","","","32","","33",""
"-119.44","49.03","OSOYOOS CS","1125852","2014-03-02","2014","03","02","","-1.5","","-5.3","","-3.4","","21.4","","0.0","","","M","","M","0.0","","","","","","<31",""
