PIT TAG,DATE,Time,RESEARCHER,RECAP,CAUGHT 2022,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEMP,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,NOrthing,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,OVA COUNT,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,RATTLE,FOOD,POOP,COMMENTS
9.89001E+14,9/16/2022,3:10,SP LPW,YES,,RATTLE,Cloud,60,24.8,25.3,sight,hiding,desert,bush,NOrth desert,320371,5437103,---,gold,80.2,345,53,292,m,adult,NA,,NO,11:41,9/21/2022,NOrth desert,,11 broken,NO,NO,hotel caught for tracker removal
9.82091E+14,9/16/2022,3:59,SP LPW,YES,,RATTLE,sun/cloud,50,24.4,26.5,sight,moving,desert,bush,desert below den 5,321786,5435700,---,1F,53.4,220,116,104,f,subadult,NA,,NO,4:04,9/16/2022,same,,4+ button,NO,NO,
9.82091E+14,9/21/2022,12:32,SP BT,YES,,RATTLE,sun,0,24,26.9,sight,basking,talus slope,rock,near den 27,320815,5437584,---,gold,66.4,300,53,247,m,adult,NA,,NO,10:16,9/27/2022,den 27,,"10+ button, 2 since 2022",NO,NO,pikachu cuaght for tracker removal
9.82091E+14,9/22/2022,1:01,SP RPR,NO,NO,RACER,sun,40,20.5,27.6,sight,moving,rocks,rock,den 6,,,---,gold,48.4,100,53,47,m,subadult,NA,,NO,,9/22/2022,same,,NA,NO,NO,
9.82126E+14,9/23/2022,10:18,LPW SP,YES,,RATTLE,sun/cloud,20,19,24.1,sight,moving,burn,grass,hill above chiefs lookout,322466,5435338,---,floral,51,190,67,123,f,subadult,ng,,NO,,9/23/2022,same,,"5+ button, 2 since 2021",NO,NO,
9.82091E+14,9/26/2022,1:22,SP LPW,NO,NO,RATTLE,,,,,,,,,campground,,,---,48,,,,0,f,subadult,NA,,YES,,9/26/2022,riparian,,2+ button,NO,NO,
9.82091E+14,9/27/2022,11:44,SP BT,NO,NO,RATTLE,sun,0,24,24.9,sound,moving,gully,bush,N desert gully,321271,5435819,---,grey,51.9,210,110,100,m,subadult,NA,,NO,11:57,9/27/2022,same,,5+ button,NO,NO,
9.82126E+14,9/29/2022,10:55,SP LPW,YES,,RATTLE,,,,,,,,,new pit house,,,---,gold,60.9,283,53,230,m,adult,NA,,YES,,9/29/2022,bridge ,0,broken,NO,YES,"missing tail, caught by centre staff"
9.82091E+14,10/1/2022,11:42,LPW SL,NO,NO,GOPHER,,,,,,,,,campground bin,,,---,gold,76.9,160,53,107,f,adult,NOngravid,,YES,12:00,10/1/2022,bridge,,NA,NO,NO,
9.00254E+14,10/1/2022,9:08,LPW SL,YES,YES,RATTLE,,,,,,,,,back compound of centre,,,---,gold,74.4,366,53,313,m,adult,NA,,YES,9:20,10/1/2022,bridge,0,"10 broken, 0 since 2022",YES,NO,
497F5A0D51,10/1/2022,9:25,LPW SL,YES,YES,RATTLE,sun ,0,,,sight,hiding,talus,in rocks,hillside near den 6,,,---,gold,64.6,239,53,186,m,adult,NA,,YES,,,den 6,,"6 broken, 1 since 2022",NO,NO,Bulbasaur caught for tracker removal
9.82091E+14,10/6/2022,10:52,LPW SP,YES,YES,RATTLE,sun,5,23.3,23.4,sight,moving,grassland,shrub,hill below den 6,322384,5435350,---,gold,32.4,100,53,47,m,neoNAte,NA,,NO,10:57,10/6/2022,same,0,"1 + button, 1 since 2022",NO,NO,
9.82126E+14,10/6/2022,11:05,LPW SP RR,YES,NO,RATTLE,sun,5,23.3,23.4,sound,basking,talus,rock,hill to RC den,322387,5435421,---,gold,60.2,162,53,109,f,adult,pp,,NO,11:11,10/6/2022,same,0,"6 broken, 3 since 2021",NO,NO,
9.82091E+14,10/8/2022,11:50,LPW CW,NO,NO,GOPHER,---,---,---,---,---,---,---,---,campground bin,,,---,gold,84,187,53,134,f,adult,NOngravid,,YES,,10/8/2022,bridge,0,NA,NO,NO,
9.82091E+14,10/11/2022,11:52,LPW GC,NO,NO,RATTLE,sun,0,20.1,25,sight,basking,talus,on rocks,RC Den,,,RC DEN,basket,30,821,807,14,f,neoNAte,NA,,NO,12:07,10/11/2022,same,0,button,NO,NO,
9.82091E+14,10/13/2022,13:36,LPW RR,NO,NO,RATTLE,sun,0,21,22.2,sight,basking,talus,on rocks,Den 6,,,DEN 6,teal,26.9,141,124,17,f,neoNAte,NA,,NO,13:49,10/13/2022,same,0,button,NO,NO,
9.82091E+14,10/13/2022,12:45,LPW RR,YES,NO,RATTLE,sun,0,23,20.1,sight ,basking,golfcourse,grass,7th tee shed box,,,---,---,---,---,---,---,,subadult,NA,,NO,12:50,,same,0,4+button,NO,NO,"Broken spine, did NOt process at risk of excessive pain "
