PIT TAG,DATE,Time,RESEARCHER,RECAP,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEMP,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,Northing,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,DIST BUI,DIST RD,DIR BUI,DIR RD,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,RATTLE,COMMENTS,"ELEVATION, M"
989001006650749,08-03-2019,11:46,"DME, NGE",YES,RATTLE,SUNNY,0%,27.9,27.2,SIGHT,COILED,SHRUB STEPPE,IN ROCKS,5M S OF POMONA ROOKERY,322777,5435309,NA,PAISLEY,61.2,340,88,252,F,ADULT,GRAVID,>150,>150,SW,SW,NO,12:00,08-03-2019,SAME AS CAPTURE,0,1 SHED SINCE 2018,5 OVA DETECTED,
982126057821660,08-04-2019,10:10,"NGE, MDT",NO,RATTLE,SUNNY,0%,24.3,21.5,SOUND,MOVING,GOLF COURSE,UNDER SAGE,E OF S FENCE BY VINEYARD,322429,5434537,NA,WHITE,64.2,345,129,216,M,ADULT,NA,200,200,W,W,YES,10:23,08-04-2019,15M E OF S FENCE,0,6+B,,
0A13677554B,08-04-2019,7:54,"NGE, MDT",YES,RATTLE,SUNNY,0%,22.5,23.7,SIGHT,COILED,GRASSLAND,IN ROCK PILE,N FENCE ROCK PILE,321576,5434839,NA,,71.6,439,129,310,M,ADULT,NA,>100,>100,SW,SW,NO,8:00,08-04-2019,15M E OF NORTH FENCE ,0,5+B 2 SHEDS SINCE 2018,,
456A3A6A67,08-04-2019,8:24,"NGE, MDT",YES,RATTLE,SUNNY,0%,23.9,24.3,SOUND,MOVING,GRASSLAND,NORTH SNAKE FENCE,BIG PINE AT N END OF N FENCE ,321456,5435231,NA,WHITE,83.2,456,129,327,M,ADULT,NA,150,150,S,S,YES,8:35,08-04-2019,15M E OF NORTH FENCE ,0,"1 SHED THIS YEAR, 4+B",CAUGHT AT DEN 5 IN SPRING,
982126057821631,08-06-2019,14:45,"DME, NGE",NO,GOPHER,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,CAMPGROUND,CAMPSITE,SITE 171,321435,5434923,NA,GREY,54.5,208,113,95,M,SUB ADULT,NA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,15:00,08-07-2019,HIGH DESERT,1,,,
982126057821651,08-07-2019,21:34,"DME, NGE",NO,RATTLE,NIGHT,0%,34,35.6,SOUND,MOVING ,TALUS/SHRUB STEPPE,WITHIN ROCKS,25M DOWNSLOPE DEN 8,322029,5435708,NA,1B ,59.5,304,108,196,F,ADULT,GRAVID,>150,>150,SW,SW,NO,9:40,08-07-2019,SAME AS CAPTURE,0,6+B,,
982126057821698,08-07-2019,21:11,"DME, NGE",NO,RATTLE,DUSK,10%,34,35.6,SIGHT,HIDING,TALUS,UNDER ROCK,2 M UPSLOPE HERMIONE ROOKERY,322050,5435730,NA,1B ,56.7,224,108,116,F,ADULT,POST PARTUM,>150,>150,SW,SW,NO,21:24,08-07-2019,SAME AS CAPTURE,0,8+B,,
989001006650748,08-08-2019,10:17,"DME, NGE",YES,RATTLE,SUNNY/CLOUDY,50%,29.9,31.3,SIGHT,MOVING,RC DEN ,WITHIN ROCKS,RC DEN ,322479,5435557,RC DEN,NA,64.55,308,100,208,M,ADULT,NA,>150,>150,SW,SW,NO,10:20,08-08-2019,SAME AS CAPTURE,0,"1 SINCE BLACK, 5+B",,
0A180D5F6B,08-09-2019,8:30,"DME, NGE",YES,RATTLE,CLOUDY,80%,28.5,29.5,SIGHT,COILED,TALUS,WITHIN ROCKS,BELLATRIX ROOKERY,322745,5435179,NA,5,68.55,495,126,169,F,ADULT,GRAVID,>100,>100,S,S,NO,8:41,08-09-2019,SAME AS CAPTURE,0,,"BELLATRIX AT HER SAME ROOKERY IN 2017, GRAVID- 7 OVA, OUT COMPLETELY EXPOSED, VERY HEALTHY LOOKING",
4C3B77661C,08-09-2019,8:30,"DME, NGE",YES,RATTLE,CLOUDY,80%,28.5,29.5,SIGHT,COILED,TALUS,WITHIN ROCKS,BELLATRIX ROOKERY,322745,5435179,NA,5,64.1,298,129,169,F,ADULT,POST PARTUM,>100,>100,S,S,NO,8:51,08-09-2019,SAME AS CAPTURE,0,"1 SINCE 2018, 2+B","2 NEONATAL SHEDS PRESENT, LIKELY GAVE BIRTH 5-7 DAYS AGO",
989001006650759,08-09-2019,8:12,"DME, NGE",YES,RATTLE,CLOUDY/SMOKE,70%,25.1,27.3,SIGHT,COILED,OPEN FOREST/SHRUB STEPPE,UNDER ROCK OVERHANG,GINNY ROOKERY,322574,5435181,NA,5,65.9,363,126,237,F,ADULT,NA,>100,>100,S,S,NO,8:22,08-09-2019,SAME AS CAPTURE,0,"2 SHEDS SINCE 2018, 6+B","FOOD IN STOMACH, 2 SHEDS UNDER ROCK, ANOTHER BIG MALE UNDER ROCK WITH HIM, DEN 6 SNAKE",
989001006782022,08-09-2019,10:50,"DME, NGE",YES,RATTLE,CLOUDY,90%,26.7,27.4,SIGHT,COILED,DEN/SHRUB STEPPE,IN ROCK CREVICE,RC DEN ENTRANCE,322479,5435557,RC DEN ,5,57.45,271,126,145,F,ADULT,GRAVID,>150,>150,SW,SW,NO,11:11,08-09-2019,SAME AS CAPTURE,0,"1 SINCE 2019, 6+B",,
