PIT TAG,DATE,Time,RESEARCHER,RECAPTURE,SPECIES,WEATHER,CLOUD COVE,WIND,AIR TEMP,GROUND TEM,DETECTION,BEHAVIOUR,MACRO HABI,MICRO HABI,LOCATION,Easting,Northing,DEN SITE,COMMENS,PILLOW CAS,SVL,S+B,BAG,MASS,SEX,AGE CLASS,BLOOD SAMP,SCALE CLIP,SCUTE MARK,GRAVID,DIST BUILD,DIST RD,DIR BUILD,DIR RD,REL DATE,REL TIME,REL RESEAR,REL LOCA,DAYS IN CA
0a180d5f7d,6/19/2015,10:58:20,JRM/KME,TRUE,GOPHER SNAKE,SUNNY,9-Mar,BREEZE,23.5,23,SIGHT,MOVING,GOLF COURSE,tall grass along gc pond,7th hole pond,322564.2796,5434596.883, , ,ab,77,260,100,160,FEMALE,ADULT,FALSE,TRUE,s087,Non-gravid,>100,50-74,E,S,6/19/2015,11:13,JRM/KME,same as cap,0
989001004384290,6/21/2015,13:50:36,MAINTENANCE,FALSE,GOPHER SNAKE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,UNKNOWN,CAMP GROUND, ,site 196,321290.6222,5435310.08, , ,73,77.6,234,60,174,MALE,ADULT,FALSE,TRUE,s088,N/A, , , , ,6/22/2015,13:00,JRM/KME,high desert,1
989001004384328,6/25/2015,9:30:38,JRM/KME,FALSE,GOPHER SNAKE,SUNNY,9-Mar,NO WIND,26.4,26.5,SIGHT,MOVING,SHRUB STEPPE,open sand,N desert,319679.7395,5437257.188, ,bled lots from pit tag,13,77.5,325,115,210,MALE,ADULT,FALSE,TRUE,s089,N/A,>100,>100,NW,NW,6/25/2015,9:51,JRM/KME,same as cap,0
989001004384233,6/30/2015,12:25:24,JRM/KME,FALSE,NP RATTLESNAKE,SUNNY,9-Feb,BREEZE,27.8,29.6,SIGHT,COILED,GOLF COURSE,antelopebrush,7th fairway 50m N dev fence,322663.4895,5434919.087, ,*transmitter YARRA,14,53.8,206,81,125,FEMALE,SUB ADULT,FALSE,TRUE,s092,Non-gravid,>100,74-99,S,S,7/8/2015,6:50,JRM/KME,same as cap,7
4a60292d31,7/1/2015,6:58:34,JRM/KME,TRUE,NP RATTLESNAKE,SUNNY,9-Jan,SLIGHT WIND,21.5,21.6,SIGHT,MOVING,GOLF COURSE,open tall grass,near 4th teebox,322373.1115,5434801.422, ,gained 40g since last capture 2 mon,36,60.2,250,70,180,FEMALE,ADULT,TRUE,FALSE,already clipped,Non-gravid,>100,>100,W,W,7/1/2015,7:12,JRM/KME,same as cap,0
989001004384241,7/1/2015,7:36:24,JRM/KME,FALSE,NP RATTLESNAKE,SUNNY,9-Jan,BREEZE,24,22.4,SIGHT,COILED,GOLF COURSE,under antelopebrush,near 4th tee box,322361.4317,5434793.251, , ,67,69.6,263,90,173,FEMALE,ADULT,TRUE,TRUE,s090,Non-gravid,>100,>100,W,W,7/1/2015,7:55,JRM/KME,same as cap,0
989001004384293,7/1/2015,8:21:14,JRM/KME,FALSE,GOPHER SNAKE,SUNNY,0/9,SLIGHT WIND,25,25.1,SIGHT,BASKING,GOLF COURSE,b/w 4 and 5 fairway, ,322430.8137,5434733.96, , ,71,77.2,200,60,140,FEMALE,ADULT,FALSE,TRUE,s091,Non-gravid,>100,>100,W,W,7/1/2015,8:34,JRM/KME,same as cap,0
989001004384306,7/2/2015,8:53:03,JRM/KME,FALSE,NP RATTLESNAKE,SUNNY,0/9,NO WIND,28,26.7,SIGHT,COILED,SHRUB STEPPE,by antelopebrush,n rattlesnake point,319122.0238,5437844.234, , ,77,71.5,415,83,332,MALE,ADULT,TRUE,TRUE,s093,N/A,>100,>100,S,S,7/2/2015,9:04,JRM/KME,same as cap,0
989001004384325,7/5/2015,6:51:20,JRM/KME,FALSE,GOPHER SNAKE,SUNNY,0/9,STRONG WIND,22.8,21.6,SIGHT,BASKING,GOLF COURSE,on cart path,path to hole 6,322338.2869,5434926.934, , ,61,81.8,279,77,202,FEMALE,ADULT,FALSE,TRUE,s095,Non-gravid,>100,>100,W,W,7/6/2015,14:15,JRM/KME,same as cap,1
0a180d5f49,7/5/2015,14:54:42,CG STAFF,TRUE,GOPHER SNAKE,UNKNOWN,UNKNOWN,UNKNOWN,0,0,UNKNOWN,MOVING,UNKNOWN, ,snake box,321503.9625,5434452.298, ,lost 40g since 2014,33,79.4,204,84,120,MALE,ADULT,FALSE,TRUE,s094,N/A, , , , ,7/6/2015,11:50,JRM/KME,high desert,1
