PIT TAG,DATE,Time,RESEARCHER,RECAP,SPECIES,WEATHER,CLOUD COV,AIR TEMP,GROUND TEM,DET,BEHAVIOUR,MACRO HAB,MICRO HAB,LOCATION,Easting,Northing,SITE,DEN,PILLOW,SVL,S+B,BAG,MASS,SEX,AGE CLASS,REPRO,BLOOD 1,BLOOD 1 TI,BLOOD 2,BLOOD 2 TI,SCALE,DIST BUI,DIST RD,DIR BUI,DIR RD,RELOC,REL TIME,REL DAY,REL LOC,DAY CAP,COMMENTS
989001005040856,5/8/2016,14:19:02,JRM/KH,FALSE,RATTLESNAKE,SUNNY/CLOUDY,7,25.3,26.3,SIGHT,MOVING,SHRUB STEPPE,open gravel,trail near first shelter,322082.2221,5435124.849,SOUTH, ,62,46.6,167,60,93,FEMALE,SUB-ADULT,NON GRAVID, , , , , ,>100,>100,S,S,FALSE,1428,8-May,near cap,0, 
989001005040828,5/9/2016,11:44:55,JRM/CH,FALSE,RACER,SUNNY/CLOUDY,7,18.1,18.8,SIGHT,MOVING,SHRUB STEPPE,sage,above dev site,322863.0792,5434992.675,SOUTH, ,77,64.8,140,80,60,MALE,ADULT,N/A, , , , , ,>100,>100,E,E,FALSE,12;05,9-May,same as cap,9-May, 
989001005040912,5/9/2016,15:24:18,JRM/CH,FALSE,GOPHER SNAKE,SUNNY/CLOUDY,6,26.1,27,SIGHT,MOVING,GOLF COURSE,open sand,north of 4 teebox,322345.181,5434787.021,SOUTH, ,14,76.1,248,75,173,FEMALE,ADULT,NON GRAVID, , , , , ,>100,>100,W,W,FALSE,1532,9-May,same as cap,0, 
4c132c3146,5/10/2016,8:24:08,JRM/CH,TRUE,RATTLESNAKE,SUNNY,0,16,16.5,SIGHT,BASKING,SHRUB STEPPE,open sand,N CG fence,321765.596,5434669.022,SOUTH, ,ps i love you,62,0,103,0,FEMALE,ADULT,NON GRAVID,b16-01a,6:00,b16-01b,18:30,s16-01,>100,>100,S,S,FALSE,836,10-May,same as cap,0, 
989001005040860,5/10/2016,9:03:20,JRM/CH,FALSE,RATTLESNAKE,SUNNY,0,15.2,14.7,SOUND,MOVING,SHRUB STEPPE,open ground,N CG fence inside,321544.8215,5434896.974,SOUTH, ,ps i love you,56.3,219,102,117,FEMALE,ADULT,NON GRAVID,b16-02a,4:44,b16-02b,15:29,s16-02,>100,>100,S,S,TRUE,918,10-May,outsideof fence,0, 
neonate,5/10/2016,9:40:54,JRM/CH,FALSE,RATTLESNAKE,SUNNY,2,18.2,17.1,SIGHT,BASKING,SHRUB STEPPE,open grass,N CG snake fence,321400.2626,5435317.571,SOUTH, , ,0,0,0,0,UNKNOWN,, , , , , , ,75-100,75-100,W,W,FALSE,940,10-May,10m away from f, ,coiled against fence not processed
989001005040868,5/10/2016,11:12:50,JRM/CH,FALSE,RATTLESNAKE,SUNNY,2,21.8,22.2,SIGHT,COILED,SHRUB STEPPE,under antelopebrush, ,320455.5466,5437270.114, , ,36,54,147,68,79,FEMALE,SUB-ADULT,NON GRAVID, , , , , ,>100,>100,NW,NW,FALSE,1120,10-May,same as cap,0, 
989001005040887,5/10/2016,15:01:50,JRM/CH,FALSE,RACER,SUNNY,2,31,27.7,SIGHT,MOVING,GOLF COURSE,antelope brush,fairway 6,322517.272,5434972.11,SOUTH, ,36,48.3,111,69,42,MALE,SUB-ADULT,N/A, , , , , ,>100,>100,S,S,FALSE,15:15,10-May,same as cap,10-May, 
989001005040907,5/9/2016,19:00:00,MAINTENANCE,FALSE,RATTLESNAKE,UNKNOWN,UNKOWN,0,0,UNKNOWN,UNKNOWN,CAMPGROUND,road,welcome sign,321695.3094,5434569.94,SOUTH, ,63,30.1,120,100,20,FEMALE,BABY,N/A, , , , , ,<10,ON ROAD,W,W,TRUE,13:52,10-May,high desert,9-May, 
471e4c7926,5/11/2016,9:41:19,JRM/CH,TRUE,RATTLESNAKE,CLOUDY,8,24.1,24.6,SOUND,MOVING,GOLF COURSE,open grass,5m from W edge fairway 5,322425.5071,5434799.872,SOUTH, ,62,75.3,409,90,319,MALE,ADULT,N/A, , , , , ,>100,>100,E,E,FALSE,948,11-May,same as cap,0,GEORDI
