Categories,PIT Tag #,Date,Time,Researcher,Spp,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL,S + B,Bag,Mass,Sex,Age class,Gravid,Rattle paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Type
Unfiled,486236384C,05/13/2008,11:34 AM,"LG, CIK",Rattlesnake,,Sound,No,Right of Den6,3D diff,25,3.2,614,323212,5435004, c008051310,Rock slide,"Cloudy, Cool",100,19.7,17.9,,Plaide,58.6,34,209,76,133,Female,Adult,No,"Gold, Red, Fiesta yellow",,,05/14/2008,05:00 PM,OMM,1,"Close to cap location, better cover",Coiled,2008-16,Capt
Unfiled,484B283F0C,05/13/2008,11:34 AM,"LG, CIK",Rattlesnake,,Sound,,Right of Den6,3D diff,25,3.2,614,323212,5435004, c008051310,Rock slide,"Cloudy, Cool",100,19.7,17.9,, yellow pale flowers,71.7,44,436,94,342,Female,Adult,Yes,"Gold, Red, Deep aqua",,"Definately three, extreamly large female",,,,,,Coiled,2008-17,Capt
Unfiled,4845663A49,05/13/2008,03:18 PM,OMM,Rattlesnake,,Sight,No,Drift fence,3D diff,,,387,322729,5434845,,"Shrub-steppe, Sagebrush","Overcast, Cool",100,23.8,21.5,,Blue,56.1,35,216,99,117,Female,Adult,No,"Gold, Red, Car pink",,,05/13/2008,04:40 PM,LG,,"Village riperean - in error, was told to be at capture location",On the move,2008-18,Capt
Unfiled,45306D4A14,05/14/2008,11:21 AM,"LG, CIK",Rattlesnake,,Sight,Yes,Coverboard A7,3D diff,30,2.4,301,321613,5434778,115,Shrub-steppe,"Cool, Cloudy",100,23.8,21.5,,Lion king,,5.5,387,107,280,Male,Adult,NA,"Fuchsia, Blue bell, Pt purple",,,05/14/2008,03:03 AM,"LG, CIK",,"Close to cap location, better cover",Coiled,2008-19,Capt
Unfiled,45563C3159,05/14/2008,11:38 AM,"LG, CIK",Rattlesnake,,Sound,Yes,"East of marina, third rock pile",3D diff,75,3.3,297,321574,5434839,117,Rock pile,"Cool, Cloudy",100,23.8,21.5,,Retro,,5.8,378,97,281,Male,Adult,NA,"Daisy cream, Pt purple, Deep aqua",,,05/14/2008,03:06 AM,"LG, CIK",,At capture location,Coiled,2008-20,Capt
Unfiled,4843541F44,05/16/2008,09:00 AM,CIK,Rattlesnake,,Sight,,Drift fence,,,,,322,543,,"Shrub-steppe, Antelope brush","Sunny, Hot",0,23.5,21.3,,Emb flowers,,7.1,490,127,363,Male,Adult,NA,Solid royal blue,,Becomes transmitter snake,,,,,, Coiled,2008-21,Capt
Unfiled,4544416D06,05/17/2008,08:55 AM,OMM,Rattlesnake,,Sight,No,Pinetree bridge,3D diff,40,2.9,328,322143,5435053,CO22170508,"Shrub-steppe, Rabbit brush","Sunny, Warm",10,23.8,21.5,,Brown Stripe,,5.7,346,119,227,Male,Adult,,"Fiesta yellow, Royal blue, Citrus green",,Big belly - must be a lrg mouse,05/17/2008,10:09 AM,OMM,,At capture location,On the move,2008-22,Capt
Unfiled,485E771546,05/18/2008,03:16 PM,CG staff,Rattlesnake,,Sight,No,Campground - No:200,3D diff,104,4.9,277,321265,5435311,CO23180508,"CG, Road","Sunny, Hot",50,23.8,21.5,,White rose,69.4,5.4,360,105,255,Male,Adult,NA,"Gold, Red, Lt blue",,,05/19/2008,03:34 PM,CIK,1,Village riperean,Basking,2008-23,Capt
Unfiled,4579506371,05/18/2008,08:37 PM,CG staff,Rattlesnake,,Sight,,Campground,,,,,322,543,,"CG, Building",Dusk,50,,,,Yellow Rose,,3.6,247,103,144,Female,Sub Adult,No,"Citrus green, Lt blue, Lt blue, Blue bell",,Campsite 1,05/19/2008,03:00 PM,OMM,1,Village riperean,On the move,2008-24,Capt
Unfiled,43103F5053,05/19/2008,10:20 AM,"OMM, LG",Rattlesnake,,Sight,,Snake fence-opp. office,3D diff,30,4.5,304,321774,5434664,125,"Shrub-steppe, Antelope brush","Sunny, Warm",75,29.8,29,,Zig-zag pink blue,,5.9,371,102,269,Male,Adult,NA,Solid royal blue,,Transmitter snake,,,,,,On the move,2008-25,Capt
